bin name	domain	confidence	% completion	% redundancy	num_splits	total length	bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
NET15.020	BACTERIA	0.9	91.55	74.65	2027	3840424	NET15.020	44	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	None	None
NET15.021	BACTERIA	0.4	52.11	11.27	1788	3394202	NET15.021	6	6	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
NET15.022	BLANK	1.0	0.00	0.00	524	899999	NET15.022	1	1	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarcicella	Pseudarcicella hirudinis
NET15.023	BACTERIA	0.5	39.44	33.80	436	716360	NET15.023	8	4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET15.024	BACTERIA	0.7	76.06	38.03	2550	4386362	NET15.024	17	7	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	None
NET15.025	BACTERIA	0.5	63.38	57.75	3899	6119043	NET15.025	17	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	None
NET15.026	BLANK	0.7	0.00	0.00	1598	2409190	NET15.026	3	3	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	UBA2033 sp002333425
NET15.027	BACTERIA	0.4	35.21	16.90	5288	7164831	NET15.027	11	4	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	UBA2033 sp002333425
NET16.001	BACTERIA	1.0	98.59	728.17	900	4942150	NET16.001	64	20	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET16.002	BACTERIA	0.7	76.06	9.86	2254	6905806	NET16.002	17	17	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
NET16.003	BACTERIA	0.5	70.42	19.72	822	3883920	NET16.003	12	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET16.004	BACTERIA	0.7	70.42	56.34	1649	3417327	NET16.004	20	20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.005	BACTERIA	0.9	95.77	21.13	2364	12461293	NET16.005	24	7	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum
NET16.006	BACTERIA	0.7	69.01	52.11	1394	2778034	NET16.006	23	23	Bacteria	None	None	None	None	None	None
NET16.007	BLANK	0.7	0.00	0.00	1599	3326341	NET16.007	2	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.008	BACTERIA	0.8	71.83	43.66	1836	3804478	NET16.008	22	9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
NET16.009	BACTERIA	0.4	35.21	7.04	4776	8968238	NET16.009	8	4	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Alkalinema	Alkalinema sp002148405
NET16.010	BACTERIA	0.5	49.30	29.58	1968	3440674	NET16.010	7	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.011	BACTERIA	1.0	90.14	49.30	1827	6298136	NET16.011	22	17	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	UBA2033 sp002333425
NET16.012	BACTERIA	0.6	52.11	47.89	3927	6174138	NET16.012	26	17	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET16.013	BACTERIA	0.8	77.46	60.56	1966	3743214	NET16.013	38	22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	None
NET16.014	BLANK	0.8	0.00	0.00	104	218564	NET16.014	1	1	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	PXEF01	PXEF01 sp007135385
NET16.015	EUKARYA	0.3	37.35	8.43	6480	15096326	NET16.015	2	2	Bacteria	Cyanobacteria	Cyanobacteriia	None	None	None	None
NET16.016	BACTERIA	0.6	50.70	67.61	80	158841	NET16.016	16	10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET16.017	BACTERIA	0.3	40.85	39.44	3429	6555217	NET16.017	7	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.018	BLANK	0.9	0.00	0.00	2672	3937113	NET16.018	0	0	None	None	None	None	None	None	None
NET16.019	BACTERIA	0.5	54.93	26.76	2469	3859577	NET16.019	18	3	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Alkalinema	Alkalinema sp002148405
NET16.020	BLANK	0.5	0.00	0.00	5231	9807153	NET16.020	1	1	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp005116965
NET16.021	BACTERIA	0.7	69.01	81.69	2003	3919807	NET16.021	15	15	Bacteria	None	None	None	None	None	None
NET16.022	BACTERIA	0.4	50.70	36.62	1973	4093684	NET16.022	4	4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET16.023	BLANK	0.8	0.00	0.00	359	764843	NET16.023	0	0	None	None	None	None	None	None	None
NET16.024	EUKARYA	0.3	26.51	6.02	6954	13682747	NET16.024	6	2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Chlorogloeopsis	Chlorogloeopsis sp000332255
NET16.025	BACTERIA	0.7	69.01	42.25	1877	3347190	NET16.025	23	23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.026	BACTERIA	0.2	29.58	14.08	6552	11051781	NET16.026	0	0	None	None	None	None	None	None	None
NET16.027	BACTERIA	0.4	45.07	25.35	1637	2713084	NET16.027	16	8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.028	BLANK	1.0	0.00	0.00	93	182008	NET16.028	0	0	None	None	None	None	None	None	None
NET16.029	BLANK	0.8	0.00	0.00	2015	3391065	NET16.029	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas sp002256925
NET16.030	BACTERIA	0.3	39.44	21.13	1694	2998163	NET16.030	5	2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Flectobacillus	Flectobacillus major
NET16.031	BLANK	0.9	0.00	0.00	192	302444	NET16.031	2	2	Bacteria	None	None	None	None	None	None
NET16.032	BLANK	0.9	0.00	0.00	265	434148	NET16.032	1	1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET16.033	BACTERIA	0.3	39.44	11.27	1478	2696072	NET16.033	6	6	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
NET16.034	BACTERIA	0.7	77.46	39.44	4051	6889352	NET16.034	24	13	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	None
NET16.035	BLANK	0.6	0.00	0.00	4838	6843696	NET16.035	4	4	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	None	None
NET16.036	BACTERIA	0.3	28.17	9.86	150	251665	NET16.036	1	1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Chlorogloeopsis	Chlorogloeopsis sp000332255
NET16.037	BACTERIA	0.7	66.20	36.62	1072	1465702	NET16.037	34	21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET16.038	BACTERIA	0.4	50.70	30.99	1759	2569247	NET16.038	13	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
NET16.039	BACTERIA	0.7	64.79	22.54	1837	2632122	NET16.039	17	17	Bacteria	None	None	None	None	None	None
NET16.040	BLANK	0.8	0.00	0.00	3106	3861236	NET16.040	3	3	Bacteria	None	None	None	None	None	None
NET24.001	BACTERIA	0.6	52.11	1.41	22	125577	NET24.001	6	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.002	BACTERIA	0.6	53.52	5.63	34	205651	NET24.002	5	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.003	BACTERIA	0.7	54.93	42.25	244	800488	NET24.003	5	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.004	BACTERIA	0.6	45.07	21.13	39	196069	NET24.004	6	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.005	BLANK	0.7	0.00	0.00	696	2027660	NET24.005	6	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.006	BLANK	1.0	0.00	0.00	62	150996	NET24.006	0	0	None	None	None	None	None	None	None
NET24.007	BLANK	1.0	0.00	0.00	42	153175	NET24.007	0	0	None	None	None	None	None	None	None
NET24.008	BACTERIA	0.6	53.52	25.35	36	229350	NET24.008	3	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.009	BLANK	1.0	0.00	0.00	106	317034	NET24.009	0	0	None	None	None	None	None	None	None
NET24.010	BACTERIA	0.6	49.30	0.00	14	104820	NET24.010	4	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.011	BLANK	0.8	0.00	0.00	1310	3321094	NET24.011	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	UBA997	UBA997 sp002291945
NET24.012	BACTERIA	0.6	50.70	4.23	27	145245	NET24.012	5	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.013	BACTERIA	1.0	98.59	45.07	1031	9556954	NET24.013	32	7	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum
NET24.014	BACTERIA	1.0	95.77	11.27	865	6400893	NET24.014	23	23	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
NET24.015	BACTERIA	0.6	45.07	5.63	22	118803	NET24.015	4	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.016	BACTERIA	0.8	67.61	42.25	1342	3183125	NET24.016	19	19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.017	BACTERIA	0.2	26.76	22.54	1980	4712290	NET24.017	4	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
NET24.018	BACTERIA	0.9	88.73	70.42	2119	4542636	NET24.018	39	12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sphaerotilus	Sphaerotilus natans
NET24.019	BACTERIA	0.5	47.89	25.35	566	2328779	NET24.019	23	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp007097365
NET24.020	BACTERIA	0.5	57.75	42.25	535	3734896	NET24.020	14	13	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.021	BACTERIA	0.5	47.89	32.39	995	3564039	NET24.021	14	8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.022	EUKARYA	0.2	8.43	2.41	3041	7881605	NET24.022	5	5	Bacteria	None	None	None	None	None	None
NET24.023	BACTERIA	0.5	42.25	19.72	50	139906	NET24.023	8	5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.024	BLANK	0.7	0.00	0.00	1548	2659364	NET24.024	1	1	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacterales	X112	Aalborg-AAW-1	Aalborg-AAW-1 sp001007975
NET24.025	BACTERIA	0.9	85.92	71.83	1359	2925827	NET24.025	39	36	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.026	BACTERIA	0.2	15.49	0.00	2523	6642843	NET24.026	0	0	None	None	None	None	None	None	None
NET24.027	BLANK	0.7	0.00	0.00	3278	8606528	NET24.027	0	0	None	None	None	None	None	None	None
NET24.028	BACTERIA	0.8	80.28	63.38	1689	2883275	NET24.028	41	38	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
NET24.029	BLANK	0.9	0.00	0.00	2608	4260269	NET24.029	1	1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Rhodoglobus	Rhodoglobus sp004297555
NET24.030	BACTERIA	0.6	53.52	40.85	1003	2172714	NET24.030	22	14	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET24.031	BLANK	0.7	0.00	0.00	3371	7653811	NET24.031	0	0	None	None	None	None	None	None	None
NET24.032	BACTERIA	0.5	33.80	14.08	209	392821	NET24.032	3	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET24.033	BLANK	0.9	0.00	0.00	3581	6699117	NET24.033	0	0	None	None	None	None	None	None	None
NET24.034	BACTERIA	1.0	100.00	43.66	945	3134320	NET24.034	34	22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	None	None
